18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12575.720	0.371	NaN	0.371	0.337
12573.592	0.290	NaN	0.290	0.329
12577.300	0.320	NaN	0.320	0.331
12582.235	0.326	NaN	0.326	0.337
12579.319	0.330	NaN	0.330	0.327
12573.509	0.303	NaN	0.303	0.329
12581.004	0.371	NaN	0.371	0.335
12580.090	0.365	NaN	0.365	0.330
12575.947	0.364	NaN	0.364	0.337
12581.292	0.370	NaN	0.370	0.336
12580.861	0.374	NaN	0.374	0.334
12572.697	0.295	NaN	0.295	0.326
12580.977	0.358	NaN	0.358	0.335
12573.821	0.303	NaN	0.303	0.330
12578.722	0.304	NaN	0.304	0.326
12577.215	0.312	NaN	0.312	0.331
12579.635	0.333	NaN	0.333	0.328
12578.660	0.292	NaN	0.292	0.326
12583.635	0.289	NaN	0.289	0.331
12577.461	0.297	NaN	0.297	0.330
12581.479	0.356	NaN	0.356	0.337
12577.457	0.296	NaN	0.296	0.330
12578.342	0.288	NaN	0.288	0.327
12577.351	0.317	NaN	0.317	0.331
12573.591	0.308	NaN	0.308	0.329
12580.431	0.375	NaN	0.375	0.332
12575.097	0.354	NaN	0.354	0.336
12577.985	0.287	NaN	0.287	0.328
12581.508	0.345	NaN	0.345	0.337
12576.656	0.336	NaN	0.336	0.334
12583.297	0.286	NaN	0.286	0.333
12577.431	0.302	NaN	0.302	0.330
12580.531	0.373	NaN	0.373	0.333
12581.328	0.361	NaN	0.361	0.336
12578.498	0.286	NaN	0.286	0.326
12574.859	0.361	NaN	0.361	0.335
12575.841	0.368	NaN	0.368	0.337
12588.503	0.286	NaN	0.286	0.337
12581.896	0.325	NaN	0.325	0.337
12581.335	0.364	NaN	0.364	0.336
12581.038	0.365	NaN	0.365	0.335
12574.758	0.359	NaN	0.359	0.335
12580.184	0.356	NaN	0.356	0.331
12583.755	0.296	NaN	0.296	0.330
12576.071	0.360	NaN	0.360	0.337
12580.655	0.373	NaN	0.373	0.333
12578.838	0.304	NaN	0.304	0.326
12585.560	0.370	NaN	0.370	0.327
12581.849	0.332	NaN	0.332	0.337
12586.235	0.364	NaN	0.364	0.329
12578.251	0.287	NaN	0.287	0.327
12581.925	0.324	NaN	0.324	0.337
12589.086	0.295	NaN	0.295	0.335
12581.643	0.329	NaN	0.329	0.337
12578.681	0.294	NaN	0.294	0.326
12582.774	0.291	NaN	0.291	0.335
12583.508	0.289	NaN	0.289	0.331
12581.122	0.364	NaN	0.364	0.335
12587.074	0.335	NaN	0.335	0.334
12577.747	0.291	NaN	0.291	0.329
12572.760	0.293	NaN	0.293	0.326
12583.101	0.287	NaN	0.287	0.334
12579.858	0.362	NaN	0.362	0.329
